CRASH_CARRIER_NAME,count
FEDEX,11145
UPS,8443
J B HUNT,5202
INDIVIDUAL,3670
RYDER,2994
NEW YORK CITY TRANSIT,2832
SWIFT TRANSPORTATION CO OF ARIZONA LLC,2819
WERNER ENTERPRISES INC,2619
SCHNEIDER NATIONAL CARRIERS INC,2462
FIRST STUDENT INC,2213
WESTERN EXPRESS INC,2131
WAL-MART TRANSPORTATION LLC,2022
XPO LOGISTICS FREIGHT INC,2011
OLD DOMINION FREIGHT LINE INC,1992
PENSKE,1490
NEW PRIME INC,1411
NJ TRANSIT CORPORATION,1309
LANDSTAR RANGER INC,1243
EVANS DELIVERY COMPANY INC,1193
C R ENGLAND INC,1160
CHICAGO TRANSIT AUTHORITY,1134
METROPOLITAN TRANSIT AUTHORITY (HOUSTON METRO TRANSIT AUTHORITY),1093
US XPRESS INC,1078
ESTES EXPRESS LINES,995
ABF FREIGHT SYSTEM INC,986
CRETE CARRIER CORPORATION,955
HIT AND RUN,887
PRIME INC,873
NEW BERN TRANSPORT CORPORATION,871
LANDSTAR INWAY INC,844
